school_name,school_location,ncaa_division,conference_name
Tuskegee University,"Tuskegee, Alabama",NCAA Division 2,SIAC
Union University,"Jackson, Tennessee",NCAA Division 2,Gulf South
University of Alabama in Huntsville,"Huntsville, Alabama",NCAA Division 2,Gulf South
University of Alaska Anchorage,"Anchorage, Alaska",NCAA Division 2,GNAC
University of Alaska Fairbanks,"Fairbanks, Alaska",NCAA Division 2,GNAC
University of Arkansas at Monticello,"Monticello, Arkansas",NCAA Division 2,GAC
University of Arkansas-Fort Smith,"Fort Smith, Arkansas",NCAA Division 2,Lone Star
University of Bridgeport,"Bridgeport, Connecticut",NCAA Division 2,ECC
University of Central Missouri,"Warrensburg, Missouri",NCAA Division 2,MIAA
University of Central Oklahoma,"Edmond, Oklahoma",NCAA Division 2,MIAA
University of Charleston,"Charleston, West Virginia",NCAA Division 2,Mountain East
University of Colorado Colorado Springs,"Colorado Springs, Colorado",NCAA Division 2,Rocky Mountain (RMAC)
University of Hawaii at Hilo,"Hilo, Hawaii",NCAA Division 2,Pacific West
University of Illinois Springfield,"Springfield, Illinois",NCAA Division 2,GLVC
University of Indianapolis,"Indianapolis, Indiana",NCAA Division 2,GLVC
University of Mary,"Bismarck, North Dakota",NCAA Division 2,Northern Sun
University of Minnesota-Crookston,"Crookston, Minnesota",NCAA Division 2,Northern Sun
University of Minnesota-Duluth,"Duluth, Minnesota",NCAA Division 2,Northern Sun
University of Missouri-St Louis,"Saint Louis, Missouri",NCAA Division 2,GLVC
University of Montevallo,"Montevallo, Alabama",NCAA Division 2,Gulf South
University of Mount Olive,"Mount Olive, North Carolina",NCAA Division 2,Conference Carolinas
University of Nebraska at Kearney,"Kearney, Nebraska",NCAA Division 2,MIAA
University of New Haven,"West Haven, Connecticut",NCAA Division 2,NE-10
University of North Carolina at Pembroke,"Pembroke, North Carolina",NCAA Division 2,Peach Belt
University of Pittsburgh-Johnstown,"Johnstown, Pennsylvania",NCAA Division 2,PSAC
University of Sioux Falls,"Sioux Falls, South Dakota",NCAA Division 2,Northern Sun
University of South Carolina Aiken,"Aiken, South Carolina",NCAA Division 2,Peach Belt
University of Southern Indiana,"Evansville, Indiana",NCAA Division 2,GLVC
